ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,Med_First
R_1BIOYfojeGoif2p,333,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,1
R_7DvYkelERHA2K7N,334,"None, thank you",,,,,,,,,,"None, thank you",,,,,,,,,,,"No, thank you",,Medical-Simple,IoT-Complex,Trust,Hide,0
R_2lcJwAxXh4Zdwdr,335,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Show,1
R_75AhqCnbb7F31Z1,336,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_7XaQ0ifXrvmWnQp,337,"How does it isolate itself, statistics on efficiency, more specific information about the process. ",,,,Gen:Implementation,Gen:Isolation,,,,,Level of protection peer reviewed,,,,,,,,,Guarantee:General,,Nothing can ever be 100% safe,,Medical-Simple,IoT-Complex,Trust,None,1
R_81KfWNaviHn4zBf,338,NA,,,,,,,,,,NA,,,,,,,,,,,NA,,Medical-Complex,IoT-Simple,Trust,Hide,0
R_2CB7WnOrnWj1c8V,339,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,0
R_3wBtJB0LRcUczMD,340,none,,,,,,,,,,no,,,,,,,,,,,no,,Medical-Simple,IoT-Complex,None,Show,1
R_52aJA6joLZZWleS,341,What do they do? How are they used? What are their benefits?,,,,Gen:How?,,,,,,None,,,,,,,,,,,None,,Medical-Simple,IoT-Simple,None,None,1
R_2EoOQQllatTs7kG,342,"I am pretty sure that I comprehend what they are, but I do think that I need it broken down into simpler explanations or maybe with a visual example.",,,,Gen:Visual,,,,,,Nothing more than previously stated.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_1VSA4XziOQm59Wp,343,,,,,,,,,,,I think more explanation on how it protects users would put my trust into it more.,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,0
R_2ivaJrNFt1BLfbz,344,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Show,0
R_1uvn0gTA3pUqAIH,345,I have none,,,,,,,,,,I have none,,,,,,,,,,,humans can't be trusted 100%,,Medical-Complex,IoT-Complex,Hardware,Show,0
R_3FQgGcvo9kx4adg,346,TEEs are likely not failsafe. There is always a chance of misuse of data.,Distrust:TEE,Risk:General,,,,,,,,I understand TEEs but don't fully trust anything with my data.,Distrust:Vague,,,,,,,,,,"No, I don't.",,Medical-Simple,IoT-Simple,None,None,1
R_1KYMsSvZuFvbo6R,347,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Hide,0
R_8pvt4M0BHJpHKkp,348,None,,,,,,,,,,None,,,,,,,,,,,N/A,,Medical-Complex,IoT-Complex,Unsubstantial,Show,1
R_7KVQYI9SKZSCxVv,349,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Hide,0
R_3J2RUjqv2NOMYnR,350,none at this time.,,,,,,,,,,"no questions about TEEs. It makes sense, but anything can be hacked ultimately. ",Distrust:Vague,Risk:Hacking,,,,,,,,,nothing at this time. Thanks for allowing me to participate. Great to learn something new!,,Medical-Simple,IoT-Simple,Hardware,Show,0
R_2DLUd8otc8zeuMO,351,What is a TEE???,,,,,,,,,,What is a TEE??,,,,Gen:What?,,,,,,,,,Medical-Complex,IoT-Simple,None,None,0
R_2uyvUlWJ6wDBm8a,352,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Show,1
R_85qKULfHypJrh1D,353,None.,,,,,,,,,,None,,,,,,,,,,,I think in order to trust TEEs there needs to be a clearer explanation of how it is different so that hackers can’t access the information.,,Medical-Complex,IoT-Simple,Trust,None,1
R_1oj5YlCZeZNEP75,354,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
