"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status"
"C","MedicalSimple","EXPLN_S1Hardware",0.27830312835821,1.32088653469585,"[0.642, 2.751]",0.642110619948091,2.75123094447017,0.451398295381587,1,""
"C","MedicalSimple","EXPLN_S1Trust",0.680704932801486,1.97526967394506,"[0.890, 4.600]",0.890402119745035,4.60042611168711,0.101631066541151,0.406524266164606,""
"C","MedicalSimple","EXPLN_S2Untechnical",-0.0744785674569605,0.92822736811881,"[0.490, 1.760]",0.489966181091355,1.7602908858872,0.818762377419631,1,""
"C","MedicalSimple","EXPLN_S3Prevents",0.640138208827972,1.89674300781837,"[1.014, 3.623]",1.01423398933913,3.62251297065569,0.0477699608951991,0.191079843580797,"Lost significance"
"C","MedicalSimple","combined_Medical_ExperienceTRUE",0.0928503741225451,1.09729753887729,"[0.539, 2.340]",0.538507240482951,2.34046916303243,0.803081623316451,1,""
"C","MedicalSimple","combined_CS_ExperienceTRUE",-0.0262828660635968,0.974059522253491,"[0.443, 2.283]",0.442688995560693,2.2834449847941,0.94948304680918,1,""
"C","MedicalComplex","EXPLN_S1Hardware",0.0724037968742121,1.0750893741567,"[0.454, 2.535]",0.453801503823398,2.53482892387178,0.867940672606952,1,""
"C","MedicalComplex","EXPLN_S1Trust",-0.14610498201288,0.864066986931387,"[0.382, 1.916]",0.3815870485011,1.91592658142785,0.720736946295399,1,""
"C","MedicalComplex","EXPLN_S2Untechnical",0.100060690854501,1.10523799387846,"[0.564, 2.162]",0.564392317121791,2.16242051598883,0.769246833556842,1,""
"C","MedicalComplex","EXPLN_S3Prevents",0.534743399655623,1.70701016665482,"[0.884, 3.363]",0.884216778672457,3.36281352373419,0.114739733989888,0.344219201969664,""
"C","MedicalComplex","combined_Medical_ExperienceTRUE",0.211936883649556,1.23606986639754,"[0.566, 2.936]",0.566286973917002,2.93607573439962,0.61009352635122,1,""
