"Question","Scenario","term","p.value","q_value","Status"
"Q9","MedicalSimple","EXPLNHardware",0.202382481384869,0.269843308513158,""
"Q9","MedicalSimple","EXPLNTrust",0.282698084190457,0.565396168380913,""
"Q9","MedicalSimple","FAQHide",0.103445896645082,0.413783586580329,""
"Q9","MedicalSimple","FAQShow",0.0926302467206553,0.18526049344131,""
"Q9","MedicalSimple","combined_Medical_ExperienceTRUE",0.207656786076015,0.41531357215203,""
"Q9","MedicalSimple","combined_CS_ExperienceTRUE",0.83342934887402,0.912471542784714,""
"Q9","MedicalComplex","EXPLNUnsubstantial",0.0235524060929716,0.0471048121859432,"Stayed significant"
"Q9","MedicalComplex","EXPLNHardware",0.0885067429812658,0.177013485962532,""
"Q9","MedicalComplex","EXPLNTrust",0.972524907326252,0.972524907326252,""
"Q9","MedicalComplex","FAQHide",0.548374507090112,0.548374507090112,""
"Q9","MedicalComplex","FAQShow",0.889733956623718,0.889733956623718,""
"Q9","MedicalComplex","combined_Medical_ExperienceTRUE",0.504925704307799,0.504925704307799,""
"Q9","MedicalComplex","combined_CS_ExperienceTRUE",0.766740761416674,0.912471542784714,""
"Q9","IoTSimple","EXPLNUnsubstantial",0.278576191414672,0.278576191414672,""
"Q9","IoTSimple","EXPLNHardware",0.711514004265268,0.711514004265268,""
"Q9","IoTSimple","EXPLNTrust",0.839298194321264,0.972524907326252,""
"Q9","IoTSimple","FAQHide",0.227209617924218,0.454419235848435,""
"Q9","IoTSimple","FAQShow",0.0496197260157075,0.18526049344131,"Lost significance"
"Q9","IoTSimple","combined_IoT_ExperienceTRUE",0.121899217857569,0.121899217857569,""
"Q9","IoTSimple","combined_CS_ExperienceTRUE",0.322918958139024,0.912471542784714,""
"Q9","IoTComplex","EXPLNUnsubstantial",0.00078260899317627,0.00313043597270508,"Stayed significant"
"Q9","IoTComplex","EXPLNHardware",0.0087903775610058,0.0351615102440232,"Stayed significant"
"Q9","IoTComplex","EXPLNTrust",0.0618030189006725,0.24721207560269,""
"Q9","IoTComplex","FAQHide",0.472303302269276,0.548374507090112,""
"Q9","IoTComplex","FAQShow",0.733537475481958,0.889733956623718,""
"Q9","IoTComplex","combined_IoT_ExperienceTRUE",0.0449163108559535,0.089832621711907,"Lost significance"
"Q9","IoTComplex","combined_CS_ExperienceTRUE",0.912471542784714,0.912471542784714,""
"Q10","MedicalSimple","EXPLNUnsubstantial",0.286771676106326,0.467536292402165,""
"Q10","MedicalSimple","EXPLNHardware",0.4287466506224,0.8574933012448,""
"Q10","MedicalSimple","EXPLNTrust",0.351969021616335,0.473813439063806,""
"Q10","MedicalSimple","FAQHide",0.0187027073185862,0.0748108292743447,"Lost significance"
"Q10","MedicalSimple","FAQShow",0.0033277743333608,0.0133110973334432,"Stayed significant"
"Q10","MedicalSimple","combined_Medical_ExperienceTRUE",0.684120790868525,0.684120790868525,""
"Q10","MedicalSimple","combined_CS_ExperienceTRUE",0.955335484771022,0.955335484771022,""
"Q10","MedicalComplex","EXPLNUnsubstantial",0.257313374544875,0.467536292402165,""
"Q10","MedicalComplex","EXPLNHardware",0.96825458003733,0.96825458003733,""
"Q10","MedicalComplex","EXPLNTrust",0.357231925187754,0.473813439063806,""
"Q10","MedicalComplex","FAQHide",0.142290496556522,0.142290496556522,""
"Q10","MedicalComplex","FAQShow",0.659582357678102,0.659582357678102,""
"Q10","MedicalComplex","combined_Medical_ExperienceTRUE",0.143352293294903,0.286704586589807,""
"Q10","MedicalComplex","combined_CS_ExperienceTRUE",0.908240700132144,0.955335484771022,""
"Q10","IoTSimple","EXPLNUnsubstantial",0.350652219301624,0.467536292402165,""
"Q10","IoTSimple","EXPLNHardware",0.658964069055032,0.878618758740042,""
"Q10","IoTSimple","EXPLNTrust",0.473813439063806,0.473813439063806,""
"Q10","IoTSimple","FAQHide",0.0450568543090342,0.0901137086180684,"Lost significance"
"Q10","IoTSimple","FAQShow",0.495370668181679,0.659582357678102,""
"Q10","IoTSimple","combined_IoT_ExperienceTRUE",0.469158809548305,0.469158809548305,""
"Q10","IoTSimple","combined_CS_ExperienceTRUE",0.671694213771739,0.955335484771022,""
"Q10","IoTComplex","EXPLNUnsubstantial",0.99027577056293,0.99027577056293,""
"Q10","IoTComplex","EXPLNHardware",0.0693361780614574,0.277344712245829,""
"Q10","IoTComplex","EXPLNTrust",0.376152948847173,0.473813439063806,""
"Q10","IoTComplex","FAQHide",0.0750998396368171,0.100133119515756,""
"Q10","IoTComplex","FAQShow",0.144043284187942,0.288086568375883,""
"Q10","IoTComplex","combined_IoT_ExperienceTRUE",0.27409825344815,0.469158809548305,""
"Q10","IoTComplex","combined_CS_ExperienceTRUE",0.398482245701191,0.955335484771022,""
"Q11","MedicalSimple","EXPLNUnsubstantial",0.269685775378381,0.359581033837841,""
"Q11","MedicalSimple","EXPLNHardware",0.273073609044214,0.546147218088427,""
"Q11","MedicalSimple","EXPLNTrust",0.407458675376204,0.874763346181077,""
"Q11","MedicalSimple","FAQHide",6.55225796202043e-13,1.31045159240409e-12,"Stayed significant"
"Q11","MedicalSimple","FAQShow",1.78398727676637e-14,7.13594910706546e-14,"Stayed significant"
"Q11","MedicalSimple","combined_Medical_ExperienceTRUE",0.398212646458581,0.796425292917163,""
"Q11","MedicalSimple","combined_CS_ExperienceTRUE",0.916322290765047,0.916322290765047,""
"Q11","MedicalComplex","EXPLNUnsubstantial",0.232429218373919,0.359581033837841,""
"Q11","MedicalComplex","EXPLNHardware",0.86172914297451,0.86172914297451,""
"Q11","MedicalComplex","EXPLNTrust",0.794946295963455,0.874763346181077,""
"Q11","MedicalComplex","FAQHide",8.58425679823327e-10,8.58425679823327e-10,"Stayed significant"
"Q11","MedicalComplex","FAQShow",5.27730334795995e-12,7.03640446394659e-12,"Stayed significant"
"Q11","MedicalComplex","combined_Medical_ExperienceTRUE",0.917620751601878,0.917620751601878,""
"Q11","MedicalComplex","combined_CS_ExperienceTRUE",0.182598540000201,0.44785060124961,""
"Q11","IoTSimple","EXPLNUnsubstantial",0.195330811814543,0.359581033837841,""
"Q11","IoTSimple","EXPLNHardware",0.259947448624045,0.546147218088427,""
"Q11","IoTSimple","EXPLNTrust",0.874763346181077,0.874763346181077,""
"Q11","IoTSimple","FAQHide",4.72557441707977e-13,1.31045159240409e-12,"Stayed significant"
"Q11","IoTSimple","FAQShow",1.56959916331171e-11,1.56959916331171e-11,"Stayed significant"
"Q11","IoTSimple","combined_IoT_ExperienceTRUE",0.513637574510879,0.513637574510879,""
"Q11","IoTSimple","combined_CS_ExperienceTRUE",0.223925300624805,0.44785060124961,""
"Q11","IoTComplex","EXPLNUnsubstantial",0.361719117856916,0.361719117856916,""
"Q11","IoTComplex","EXPLNHardware",0.524765067019918,0.699686756026557,""
"Q11","IoTComplex","EXPLNTrust",0.44994545679809,0.874763346181077,""
"Q11","IoTComplex","FAQHide",7.86117274843047e-10,8.58425679823327e-10,"Stayed significant"
"Q11","IoTComplex","FAQShow",4.10026218095952e-13,8.20052436191904e-13,"Stayed significant"
"Q11","IoTComplex","combined_IoT_ExperienceTRUE",0.0974792200705657,0.194958440141131,""
"Q11","IoTComplex","combined_CS_ExperienceTRUE",0.337703472703585,0.450271296938113,""
"Q12","MedicalSimple","EXPLNUnsubstantial",0.593634119810104,0.791512159746805,""
"Q12","MedicalSimple","EXPLNHardware",0.419989844626034,0.776087850306618,""
"Q12","MedicalSimple","EXPLNTrust",0.695422871203849,0.695422871203849,""
"Q12","MedicalSimple","FAQHide",2.74779577229801e-07,1.0991183089192e-06,"Stayed significant"
"Q12","MedicalSimple","FAQShow",6.65548208618593e-08,2.66219283447437e-07,"Stayed significant"
"Q12","MedicalSimple","combined_Medical_ExperienceTRUE",0.718648526992484,0.718648526992484,""
"Q12","MedicalSimple","combined_CS_ExperienceTRUE",0.349517096016764,0.466022794689019,""
"Q12","MedicalComplex","EXPLNUnsubstantial",0.185676107212246,0.371352214424492,""
"Q12","MedicalComplex","EXPLNHardware",0.540016937308759,0.776087850306618,""
"Q12","MedicalComplex","EXPLNTrust",0.111788418120046,0.447153672480183,""
"Q12","MedicalComplex","FAQHide",0.000304029099614087,0.000341633454708737,"Stayed significant"
"Q12","MedicalComplex","FAQShow",7.30453268424695e-06,1.46090653684939e-05,"Stayed significant"
"Q12","MedicalComplex","combined_Medical_ExperienceTRUE",0.183110553134194,0.366221106268387,""
"Q12","MedicalComplex","combined_CS_ExperienceTRUE",0.580505715767967,0.580505715767967,""
"Q12","IoTSimple","EXPLNUnsubstantial",0.183981456495997,0.371352214424492,""
