ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_6OouQ4kQKFT6WKE,63,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_6nVFYpV0TFumzCj,64,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_5hgt8KddEkcf8GM,65,"If it is safe, how far does that safety go",Distrust:TEE,,,,,,,,Guarantee:General,Does it provide any feedback that is frequent about safety,,,,Gen:Misc,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Technical,Prevents
R_1efUiqsrYeXsE7r,66,same,,,,,,,,,,Under what circumstances would someone be able to break through a TEE?,,Risk:General,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_5HDBPYubHr5bwOd,67,none,,,,,,,,,,same,,,,,,,,,,,none,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_5EYeGueyNtB06Do,68,"I am curious about how this technology works to protect sensitive information stored in the computer. I know that this might be outside of the scope of this study, but I am interested in tech, so this concept is new and interesting.",,,,Gen:How?,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_7FdC1UWcnfcvgzv,69,same,,,,,,,,,,None,,,,,,,,,,,No I don't,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_3CjQRy14zUz6Qgh,70,None,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Technical,Prevents
R_3CDVR8ZooZfqKKS,71,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_3qEUGBVTdyUlPci,72,,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_3fGEEHAd9zYapRB,73,None,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_7m8iDY5Vl060hLm,74,N/a,,,,,,,,,,N/a,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
